id,city,age,protectionorder,why1,killer1,killingway1,statusofkiller,year
3, Adana , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Darp, Tutuklu ,2008
6, Ankara , Resit Degil  ,   Yok ,Namus,Babasi,Atesli Silah, Tutuklu ,2008
7, Antalya , Resit,   Tespit Edilemeyen ,Kiskanclik,Kocasi,Kesici Alet,Tespit Edilemeyen,2008
8, Balikesir , Resit Degil ,   Yok ,Reddedilme,Annesinin Eski Sevgilisi,Atesli Silah, Tutuklu ,2008
11, Bingol , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2008
13, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Damadi,Bogulma, Tutuklu ,2008
15, Diyarbakir , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2008
16, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2008
17, Eskisehir , Resit ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2008
19, Gaziantep , Resit,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah,Tespit Edilemeyen,2008
20, Igdir , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Intihar ,2008
21, Igdir , Resit ,   Yok ,Namus,Erkek Kardesi,Atesli Silah, Tutuklu ,2008
23, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Atesli Silah, Tutuklu ,2008
24, Istanbul , Resit ,   Yok ,Reddedilme,Sevgilisi,Atesli Silah, Tutuklu ,2008
25, Istanbul , Resit ,   Yok ,Ayrilik Talebi,Eski Nisanlisi,Kesici Alet, Araniyor ,2008
26, Istanbul , Tespit Edilemeyen,   Tespit Edilemeyen,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2008
28, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2008
29, Kirsehir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2008
30, Mersin , Resit ,   Yok ,Kaza,Akrabasi,Atesli Silah, Tutuklu ,2008
31, Samsun , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2008
66, Adana , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2009
68, Adiyaman , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Tutuklu ,2009
69, Afyonkarahisar , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Yakilma, Tutuklu ,2009
70, Afyonkarahisar , Resit ,   Yok ,Tespit Edilemeyen,Abisi,Atesli Silah, Tutuklu ,2009
71, Agri , Resit ,   Yok ,Annesini Korurken,Babasi,Atesli Silah, Tutuklu ,2009
73, Agri , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Tutuklu ,2009
74, Antalya , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2009
75, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2009
76, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2009
78, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Atesli Silah, Tutuklu ,2009
79, Antalya , Resit ,   Yok ,Tartisma,Enistesi,Kesici Alet, Tutuklu ,2009
80, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Arkadasi,Darp, Intihar ,2009
82, Antalya , Tespit Edilemeyen ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2009
83, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Bogulma, Tutuklu ,2009
84, Antalya , Resit ,   Yok ,Tartisma,Kocasinin Kardesi,Bogulma, Tutuklu ,2009
87, Balikesir , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2009
90, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2009
91, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Tespit Edilemeyen,Tespit Edilemeyen,2009
92, Diyarbakir , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2009
96, Erzurum , Resit ,   Yok ,Reddedilme,Kocasi,Atesli Silah, Tutuklu ,2009
97, Erzurum , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2009
98, Hakkari , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2009
99, Istanbul , Resit ,   Yok ,Tehdit,Kocasi,Yuksekten Dusme, Tutuklu ,2009
100, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Tespit Edilemeyen, Intihar ,2009
106, Istanbul , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2009
107, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Atesli Silah, Araniyor ,2009
111, Izmir , Resit ,   Yok ,Husumet,Akrabasi,Atesli Silah, Tutuklu ,2009
112, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2009
113, Kahramanmaras , Resit ,   Yok ,Tartisma,Oglu,Atesli Silah, Tutuklu ,2009
116, Kastomonu , Resit ,   Yok ,Para,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2009
